,Rank,Team,Matches,Wins,Draws,Losses,Goal_Difference,Points,Goals_scored,Goals_conceded,Goals_per_match,Goals_conceded_per_match
0,1,Real Madrid,486,291,85,110,533,533,1076,543,2.213991769547325,1.117283950617284
1,2,Bayern Munich,388,231,78,79,427,427,817,390,2.1056701030927836,1.0051546391752577
2,3,FC Barcelona,341,196,77,68,319,319,675,356,1.9794721407624634,1.0439882697947214
3,4,Manchester United,289,153,69,67,224,224,524,300,1.8131487889273357,1.0380622837370241
4,5,Juventus,297,151,68,78,171,171,472,301,1.5892255892255893,1.0134680134680134
5,6,AC Milan,265,127,69,69,171,171,431,260,1.6264150943396227,0.9811320754716981
6,7,Liverpool FC,230,128,48,54,214,214,435,221,1.891304347826087,0.9608695652173913
7,8,FC Porto,265,120,58,87,86,86,392,306,1.4792452830188678,1.1547169811320754
8,9,SL Benfica,266,116,61,89,114,114,438,324,1.6466165413533835,1.218045112781955
9,10,Chelsea FC,197,101,52,44,153,153,337,184,1.7106598984771573,0.934010152284264
10,11,AFC Ajax,215,100,50,65,105,105,347,242,1.613953488372093,1.1255813953488372
11,12,Inter Milan,203,97,53,53,77,77,286,209,1.4088669950738917,1.0295566502463054
12,13,Arsenal FC,197,93,44,60,98,98,324,226,1.6446700507614214,1.1472081218274113
13,14,Borussia Dortmund,176,83,36,57,75,75,297,222,1.6875,1.2613636363636365
14,15,Atlético Madrid,166,79,44,43,78,78,242,164,1.4578313253012047,0.9879518072289156
15,16,Paris Saint-Germain,151,79,29,43,115,115,294,179,1.9470198675496688,1.185430463576159
16,17,Manchester City,127,72,26,29,123,123,269,146,2.1181102362204722,1.1496062992125984
17,18,Dinamo Kiev,186,65,41,80,-22,-22,229,251,1.2311827956989247,1.3494623655913978
18,19,PSV Eindhoven,171,58,43,70,-11,-11,213,224,1.2456140350877194,1.3099415204678362
19,20,Celtic FC,156,61,28,67,-6,-6,216,222,1.3846153846153846,1.4230769230769231
20,21,Olympique Lyon,136,58,36,42,49,49,216,167,1.588235294117647,1.2279411764705883
21,22,RSC Anderlecht,163,53,35,75,-64,-64,217,281,1.3312883435582823,1.7239263803680982
22,23,Valencia CF,116,48,34,34,44,44,169,125,1.456896551724138,1.0775862068965518
23,24,Galatasaray,161,43,41,77,-97,-97,174,271,1.0807453416149069,1.6832298136645962
24,25,Olympiakos Piraeus,156,47,28,81,-89,-89,176,265,1.1282051282051282,1.6987179487179487
25,26,Rangers FC,131,43,31,57,-44,-44,173,217,1.3206106870229009,1.6564885496183206
26,27,Crvena Zvezda,104,48,15,41,37,37,204,167,1.9615384615384615,1.6057692307692308
27,28,AS Roma,109,41,26,42,-10,-10,149,159,1.3669724770642202,1.4587155963302751
28,29,Olympique Marseille,110,43,18,49,21,21,161,140,1.4636363636363636,1.2727272727272727
29,30,Panathinaikos,127,36,37,54,-39,-39,138,177,1.0866141732283465,1.3937007874015748
30,31,Shakhtar Donetsk,118,39,26,53,-47,-47,161,208,1.3644067796610169,1.7627118644067796
31,32,Bayer Leverkusen,107,37,25,45,-27,-27,148,175,1.3831775700934579,1.6355140186915889
32,33,AS Monaco,98,35,21,42,7,7,146,139,1.489795918367347,1.4183673469387754
33,34,Spartak Moskva,104,34,23,47,-23,-23,146,169,1.4038461538461537,1.625
34,35,AC Sparta Praha,102,33,24,45,-24,-24,130,154,1.2745098039215685,1.5098039215686274
35,36,Feyenoord,85,32,22,31,28,28,141,113,1.6588235294117648,1.3294117647058823
36,37,CSKA Sofia,86,34,15,37,-7,-7,124,131,1.441860465116279,1.5232558139534884
37,38,Club Brugge KV,97,31,22,44,-29,-29,115,144,1.1855670103092784,1.4845360824742269
38,39,SSC Napoli,66,30,17,19,30,30,113,83,1.7121212121212122,1.2575757575757576
39,40,FC Schalke 04,73,29,17,27,-6,-6,105,111,1.4383561643835616,1.5205479452054795
40,41,FC Basel,82,29,15,38,-36,-36,113,149,1.3780487804878048,1.8170731707317074
41,42,Sevilla FC,72,27,20,25,-2,-2,105,107,1.4583333333333333,1.4861111111111112
42,43,IFK Göteborg,70,30,10,30,7,7,116,109,1.6571428571428573,1.5571428571428572
43,44,Sporting CP,92,28,15,49,-40,-40,125,165,1.358695652173913,1.7934782608695652
44,45,FCSB,87,25,22,40,-24,-24,104,128,1.1954022988505748,1.471264367816092
45,46,Tottenham Hotspur,61,27,13,21,23,23,111,88,1.819672131147541,1.4426229508196722
46,47,CSKA Moskva,86,23,20,43,-43,-43,98,141,1.1395348837209303,1.6395348837209303
47,48,Lazio Roma,60,23,16,21,9,9,88,79,1.4666666666666666,1.3166666666666667
48,49,Deportivo La Coruña,58,23,15,20,-5,-5,75,80,1.293103448275862,1.3793103448275863
49,50,Rosenborg BK,90,21,21,48,-63,-63,111,174,1.2333333333333334,1.9333333333333333
50,51,Werder Bremen,60,23,14,23,-3,-3,96,99,1.6,1.65
51,52,Girondins Bordeaux,50,21,16,13,0,0,54,54,1.08,1.08
52,53,Austria Wien,63,22,13,28,-9,-9,91,100,1.4444444444444444,1.5873015873015872
53,54,Standard Liège,46,24,5,17,23,23,79,56,1.7173913043478262,1.2173913043478262
54,55,Rapid Wien,61,24,5,32,-5,-5,94,99,1.540983606557377,1.6229508196721312
55,56,Zenit St. Petersburg,64,21,14,29,-15,-15,76,91,1.1875,1.421875
56,57,FK Viagem Příbram,45,22,10,13,17,17,75,58,1.6666666666666667,1.288888888888889
