encoded_feature,importance
num__elo_diff_100,0.4123822659535045
num__form_goals_against_diff_5,0.13054829788094938
num__form_points_diff_5,0.10361144573249602
num__form_goals_for_diff_5,0.08218699011684924
num__travel_1000,0.06240381300508924
num__year_decade,0.053746689042466426
num__rest_diff_7,0.05103219882606809
num__Month_Cos,0.02230221201514835
num__Month_Sin,0.022017662674316766
num__is_home,0.014062980370161763
cat__tournament_grouped_Friendly,0.010111979771310039
cat__tournament_grouped_FIFA World Cup qualification,0.0069707630394243705
cat__tournament_grouped_African Cup of Nations qualification,0.0043432516751323955
cat__tournament_grouped_Other,0.0033794278899844403
cat__tournament_grouped_UEFA Euro qualification,0.0028137001247495815
num__away_rest_known,0.0020198554744243714
cat__tournament_grouped_AFC Asian Cup qualification,0.0015590632268954784
cat__tournament_grouped_African Cup of Nations,0.001083851677835309
cat__tournament_grouped_Copa América,0.0010445401843166338
cat__tournament_grouped_FIFA World Cup,0.0009924803363450512
cat__tournament_grouped_British Home Championship,0.0008871775676786154
cat__tournament_grouped_CECAFA Cup,0.0008215283186226438
cat__tournament_grouped_Merdeka Tournament,0.000818967044876931
cat__tournament_grouped_CFU Caribbean Cup qualification,0.0007164561177429469
cat__tournament_grouped_Gulf Cup,0.0005955993053186341
cat__tournament_grouped_Southeast Asian Games,0.0005670770846798114
cat__tournament_grouped_AFC Asian Cup,0.0005117090557847703
cat__tournament_grouped_Island Games,0.0004999362494570261
cat__tournament_grouped_Gold Cup,0.0004666921759417369
cat__tournament_grouped_UEFA Euro,0.0004305131775932244
num__away_travel_known,0.0004172705677939628
cat__tournament_grouped_Muratti Vase,0.0004123577756554118
num__home_rest_known,0.00037465461652797546
cat__tournament_grouped_CFU Caribbean Cup,0.00036283130359969956
cat__tournament_grouped_Asian Games,0.0003555345773905012
cat__tournament_grouped_Nordic Championship,0.0003147508046673102
cat__tournament_grouped_Amílcar Cabral Cup,0.00026833183440589964
cat__tournament_grouped_COSAFA Cup,0.0002568211059943225
cat__tournament_grouped_South Pacific Games,0.00025206160888198654
cat__tournament_grouped_King's Cup,0.0002321677981310169
cat__tournament_grouped_CONCACAF Championship,0.00019426139152672512
cat__tournament_grouped_AFF Championship,0.00018199359696499887
cat__tournament_grouped_CONCACAF Championship qualification,0.0001629435775226411
cat__tournament_grouped_Korea Cup,0.00015626794368767935
cat__tournament_grouped_UNCAF Cup,0.00015232097942366387
cat__tournament_grouped_Oceania Nations Cup,0.0001305482879430645
cat__tournament_grouped_Central European International Cup,0.00012158356120455539
cat__tournament_grouped_CCCF Championship,0.00010841916430228524
cat__tournament_grouped_Indian Ocean Island Games,0.00010452269191077642
cat__tournament_grouped_Confederations Cup,8.427816029674849e-05
cat__tournament_grouped_CONIFA World Football Cup,7.716152608978478e-05
cat__tournament_grouped_WAFF Championship,7.247847161499558e-05
cat__tournament_grouped_EAFF Championship,6.657865671796969e-05
cat__tournament_grouped_SAFF Cup,6.404875367004683e-05
cat__tournament_grouped_Arab Cup,6.162250794638434e-05
cat__tournament_grouped_Windward Islands Tournament,5.3221803348450416e-05
cat__tournament_grouped_Baltic Cup,3.184181761741351e-05
