feature,importance_mean_auc_decrease,importance_sd
elo_diff_100,0.19285082758673716,0.006444056359859207
form_goals_against_diff_5,0.007927267717891895,0.0010226566855315667
is_home,0.007320028291102521,0.0011548836321596053
tournament_grouped,0.0030894597318888994,0.00037411400858213174
form_goals_for_diff_5,0.0018436090363338265,0.00022651177424628128
rest_diff_7,0.0009426031904548937,0.00039159093929049064
travel_1000,0.0009382348557442465,0.0001664308514741233
form_points_diff_5,0.0004843043443333528,0.0004645109642579124
away_rest_known,2.9743941962245834e-05,3.585353113498242e-05
home_rest_known,2.1408112242937705e-05,7.529907924567027e-06
year_decade,0.0,0.0
away_travel_known,-2.0917288118282863e-05,3.17596628201663e-05
Month_Cos,-0.00011779778994993605,0.00016446484664349144
Month_Sin,-0.0002228995958718505,0.00023500425909096925
