term,coefficient_log_odds,robust_se,p_value,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high
Intercept,-0.09694786576882136,0.26163380713744444,0.71097427066914,0.907603322101284,0.5434917755618276,1.5156508843905736
"C(tournament_grouped, Treatment(reference='Friendly'))[T.AFC Asian Cup]",0.2347113708236118,0.10877059282627462,0.030938961804246594,1.2645437318394492,1.0217582586800442,1.5650187665722386
"C(tournament_grouped, Treatment(reference='Friendly'))[T.AFC Asian Cup qualification]",0.49226888530087964,0.07966531634460615,6.442230560832145e-10,1.6360239628643436,1.3995177800258316,1.9124976082954435
"C(tournament_grouped, Treatment(reference='Friendly'))[T.AFF Championship]",0.322099220328131,0.12854068373614436,0.012216939654302362,1.3800216953699822,1.0726842046472904,1.7754152353889145
"C(tournament_grouped, Treatment(reference='Friendly'))[T.African Cup of Nations]",0.12953115751995828,0.07924871336080691,0.10215619485688775,1.1382945773462796,0.9745363432384129,1.329570265702198
"C(tournament_grouped, Treatment(reference='Friendly'))[T.African Cup of Nations qualification]",0.40885193916621476,0.0495076086233654,1.476804467005114e-16,1.5050888592760334,1.365907180933537,1.6584527162150244
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Amílcar Cabral Cup]",0.16089714722819007,0.1442958987404593,0.2648289801724064,1.1745641554219282,0.885221292312737,1.5584814409487031
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Arab Cup]",0.20296753338816362,0.1627644456505063,0.21239689008804885,1.225032694940857,0.8904352257847747,1.6853613381607062
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Asian Games]",0.1262078045752845,0.11414513550868019,0.2688657659826229,1.1345179017996612,0.9070909574636667,1.4189656052827109
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Baltic Cup]",0.13700805485680242,0.20360709155435447,0.5010082781429299,1.1468373860941152,0.7694690775839897,1.7092772516249957
"C(tournament_grouped, Treatment(reference='Friendly'))[T.British Home Championship]",-0.43591919921413647,0.11862609696308656,0.0002380985416502463,0.6466699752667135,0.5125166519496496,0.8159384779414637
"C(tournament_grouped, Treatment(reference='Friendly'))[T.CCCF Championship]",0.2612508468201861,0.20659050532283807,0.2060208401355983,1.2985533625637786,0.8661829767742831,1.946748990271498
"C(tournament_grouped, Treatment(reference='Friendly'))[T.CECAFA Cup]",0.21570393377174063,0.0918512839892613,0.01885405264909975,1.2407349848896152,1.0363228486056746,1.4854669129415203
"C(tournament_grouped, Treatment(reference='Friendly'))[T.CFU Caribbean Cup]",0.3422673654055172,0.1323372771160555,0.009700508146982286,1.4081367342377547,1.0864234563067583,1.8251162111782493
"C(tournament_grouped, Treatment(reference='Friendly'))[T.CFU Caribbean Cup qualification]",0.2936717873913143,0.0879499098172833,0.0008405634454264958,1.3413435855345905,1.1289557966071815,1.5936873878161426
"C(tournament_grouped, Treatment(reference='Friendly'))[T.CONCACAF Championship]",-0.016127573344027077,0.163475026681305,0.9214124684359964,0.9840017796500922,0.7142425003144828,1.3556453192413243
"C(tournament_grouped, Treatment(reference='Friendly'))[T.CONCACAF Championship qualification]",-0.09466569767238416,0.18485991087069087,0.6085850476030572,0.9096769907774293,0.6331901764917636,1.3068936605030277
"C(tournament_grouped, Treatment(reference='Friendly'))[T.CONCACAF Nations League]",0.2625868598499131,0.1070990998019206,0.014213889625613407,1.3002894062061963,1.0540885727561942,1.603994752994183
"C(tournament_grouped, Treatment(reference='Friendly'))[T.CONIFA World Football Cup]",-0.11409816412699916,0.2286909645621421,0.6178367662684259,0.8921703724579566,0.569882990951556,1.396721758904771
"C(tournament_grouped, Treatment(reference='Friendly'))[T.COSAFA Cup]",-0.1956869405688956,0.12488463253975139,0.11712831538560906,0.8222696136460903,0.6437425997724786,1.0503069359782278
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Central European International Cup]",0.10365595622169366,0.21084843481594828,0.6229925336076725,1.1092187694446836,0.7337408469848913,1.6768403770135385
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Confederations Cup]",0.2984046246359233,0.17681846495033696,0.09148175672813842,1.3477069930217822,0.9529877796254935,1.9059154564957714
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Copa América]",0.07191277584137319,0.08289800512835498,0.3856763278976981,1.0745616122435129,0.9134155732655491,1.2641372583338768
"C(tournament_grouped, Treatment(reference='Friendly'))[T.EAFF Championship]",0.16986660902281983,0.2190001755537218,0.43795803507272124,1.1851467528926778,0.771540705034585,1.8204779303628529
"C(tournament_grouped, Treatment(reference='Friendly'))[T.FIFA World Cup]",0.0603100024260248,0.07372779991315123,0.41335205948280906,1.062165769478148,0.9192530599471581,1.2272965639254534
"C(tournament_grouped, Treatment(reference='Friendly'))[T.FIFA World Cup qualification]",0.21077849725008174,0.03020317329044606,2.9795112954208053e-12,1.234638848871145,1.1636729806544102,1.3099325261334447
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Gold Cup]",0.29207229959247993,0.11028398682981044,0.008088204023054437,1.3391998377417424,1.0788758909103962,1.6623378282131445
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Gulf Cup]",-0.02782534783407173,0.11122699789747341,0.8024580411365703,0.9725582113670611,0.7820580895985206,1.2094619147575996
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Indian Ocean Island Games]",0.6788830218481569,0.21028572366763645,0.001244918283160874,1.971674184815399,1.305688616388772,2.977355429366748
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Island Games]",0.5221330793574979,0.12544633923839527,3.15192504993239e-05,1.68561937751556,1.3181942036518697,2.1554583368554425
"C(tournament_grouped, Treatment(reference='Friendly'))[T.King's Cup]",0.050521075125258094,0.14024110458260036,0.7186643605079233,1.0518190303392299,0.7990382683878895,1.3845685699332462
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Korea Cup]",-0.16411501115248367,0.180820299677167,0.3640822660644626,0.848644412695289,0.595403301029993,1.2095958117011727
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Merdeka Tournament]",0.07069701499239178,0.09436111671277977,0.4537260271071577,1.0732559961248258,0.8920372605962721,1.2912895952888022
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Muratti Vase]",-0.0040150895437476375,0.16527305858483995,0.9806183603270354,0.9959929601512554,0.7204031220010202,1.3770095469817458
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Nordic Championship]",-0.15621306781739766,0.15464439409866843,0.3124264251977904,0.8553769176605854,0.6317190589390892,1.1582200361269646
"C(tournament_grouped, Treatment(reference='Friendly'))[T.Oceania Nations Cup]",0.558183591719379,0.19069654584714452,0.0034216347300905837,1.747495450553152,1.2025270648337905,2.5394358588727832
