encoded_feature,importance
num__elo_diff_100,0.432529076247496
num__form_points_diff_5,0.11607694156129689
num__form_goals_against_diff_5,0.11541452871812519
num__form_goals_for_diff_5,0.0676561888062489
num__travel_1000,0.06191261310201601
num__year_decade,0.05391522818481928
num__rest_diff_7,0.04906678916392762
num__Month_Sin,0.02246605919504269
num__Month_Cos,0.021743873284099928
num__is_home,0.013536197813889834
cat__tournament_grouped_Friendly,0.010142261327486168
cat__tournament_grouped_FIFA World Cup qualification,0.007197709091980928
cat__tournament_grouped_African Cup of Nations qualification,0.00388401021689565
cat__tournament_grouped_Other,0.003541774540283907
cat__tournament_grouped_UEFA Euro qualification,0.0028551811761390773
cat__tournament_grouped_AFC Asian Cup qualification,0.0018746071808062132
num__away_rest_known,0.0017309669182451175
cat__tournament_grouped_Copa América,0.0010022536172168085
cat__tournament_grouped_African Cup of Nations,0.0009181399146173234
cat__tournament_grouped_CFU Caribbean Cup qualification,0.0008761192862254432
cat__tournament_grouped_Merdeka Tournament,0.0008744008651274284
cat__tournament_grouped_FIFA World Cup,0.0008641056152719917
cat__tournament_grouped_British Home Championship,0.0008525177198817617
cat__tournament_grouped_CECAFA Cup,0.0007474935382037265
num__away_travel_known,0.0005583571975729357
cat__tournament_grouped_Island Games,0.0005122498308675979
cat__tournament_grouped_Gulf Cup,0.0005101193299695765
cat__tournament_grouped_Southeast Asian Games,0.00047179542063327274
cat__tournament_grouped_UEFA Euro,0.00045599500653134816
cat__tournament_grouped_Gold Cup,0.0004257096201442839
cat__tournament_grouped_AFC Asian Cup,0.00042011816140687016
cat__tournament_grouped_Asian Games,0.00041692815758725336
cat__tournament_grouped_South Pacific Games,0.0003864895726915483
cat__tournament_grouped_Muratti Vase,0.00037508295378708
cat__tournament_grouped_Amílcar Cabral Cup,0.00036806045451219835
cat__tournament_grouped_Nordic Championship,0.000365781635735396
cat__tournament_grouped_CONCACAF Championship,0.00036523210331277956
cat__tournament_grouped_CFU Caribbean Cup,0.00032772105776419377
num__home_rest_known,0.00030245824363242757
cat__tournament_grouped_COSAFA Cup,0.0002493486458902727
cat__tournament_grouped_UNCAF Cup,0.0002124201279453646
cat__tournament_grouped_King's Cup,0.00018366598798713336
cat__tournament_grouped_AFF Championship,0.00017682639898881865
cat__tournament_grouped_Central European International Cup,0.0001728350872646914
cat__tournament_grouped_CONCACAF Championship qualification,0.0001661506073077737
cat__tournament_grouped_Korea Cup,0.00014407159490576613
cat__tournament_grouped_CCCF Championship,0.00012481991553296105
cat__tournament_grouped_Oceania Nations Cup,0.00011614968471595753
cat__tournament_grouped_Indian Ocean Island Games,8.451435241531017e-05
cat__tournament_grouped_SAFF Cup,7.537839547796878e-05
cat__tournament_grouped_WAFF Championship,7.454919214715975e-05
cat__tournament_grouped_EAFF Championship,6.794083307852361e-05
cat__tournament_grouped_Confederations Cup,6.332742265813681e-05
cat__tournament_grouped_Baltic Cup,5.980909839972222e-05
cat__tournament_grouped_Windward Islands Tournament,5.2555447083925505e-05
cat__tournament_grouped_Arab Cup,3.4501376707863797e-05
cat__tournament_grouped_CONIFA World Football Cup,0.0
