feature,importance_mean_auc_decrease,importance_sd
elo_diff_100,0.19039971735074723,0.0
form_goals_against_diff_5,0.008417388328104125,0.0
is_home,0.004971925678102118,0.0
tournament_grouped,0.002320166539897639,0.0
form_points_diff_5,0.001735513203250716,0.0
form_goals_for_diff_5,0.001416436620126138,0.0
rest_diff_7,0.0008350554443111724,0.0
Month_Cos,0.0007015512823679293,0.0
travel_1000,0.00030222495484000245,0.0
Month_Sin,0.0001121533125145735,0.0
away_travel_known,9.182501334625837e-05,0.0
home_rest_known,7.256016644818786e-05,0.0
year_decade,0.0,0.0
away_rest_known,-4.3765151127583835e-06,0.0
