Year,Era,Match_Type,Neutral,Home_Win
1872,1872-1891,Friendly,0,0
1873,1872-1891,Friendly,0,1
1874,1872-1891,Friendly,0,1
1875,1872-1891,Friendly,0,0
1876,1872-1891,Friendly,0,1
1876,1872-1891,Friendly,0,1
1877,1872-1891,Friendly,0,0
1877,1872-1891,Friendly,0,0
1878,1872-1891,Friendly,0,1
1878,1872-1891,Friendly,0,1
1879,1872-1891,Friendly,0,1
1879,1872-1891,Friendly,0,1
1879,1872-1891,Friendly,0,0
1880,1872-1891,Friendly,0,1
1880,1872-1891,Friendly,0,0
1880,1872-1891,Friendly,0,1
1881,1872-1891,Friendly,0,0
1881,1872-1891,Friendly,0,0
1881,1872-1891,Friendly,0,0
1882,1872-1891,Friendly,0,0
1882,1872-1891,Friendly,0,1
1882,1872-1891,Friendly,0,1
1882,1872-1891,Friendly,0,1
1882,1872-1891,Friendly,0,1
1883,1872-1891,Friendly,0,1
1883,1872-1891,Friendly,0,1
1883,1872-1891,Friendly,0,0
1883,1872-1891,Friendly,0,0
1883,1872-1891,Friendly,0,0
1884,1872-1891,Official,0,0
1884,1872-1891,Official,0,1
1884,1872-1891,Official,0,0
1884,1872-1891,Official,0,1
1884,1872-1891,Official,0,0
1884,1872-1891,Official,0,1
1885,1872-1891,Official,0,1
1885,1872-1891,Official,0,0
1885,1872-1891,Official,0,1
1885,1872-1891,Official,0,0
1885,1872-1891,Official,0,0
1885,1872-1891,Official,0,0
1885,1872-1891,Friendly,0,0
1886,1872-1891,Official,0,1
1886,1872-1891,Official,0,0
1886,1872-1891,Official,0,0
1886,1872-1891,Official,0,0
1886,1872-1891,Official,0,0
1886,1872-1891,Official,0,1
1886,1872-1891,Friendly,0,1
1887,1872-1891,Official,0,1
1887,1872-1891,Official,0,1
1887,1872-1891,Official,0,1
1887,1872-1891,Official,0,1
1887,1872-1891,Official,0,0
1887,1872-1891,Official,0,0
1888,1872-1891,Official,0,1
1888,1872-1891,Official,0,1
1888,1872-1891,Official,0,1
1888,1872-1891,Official,0,0
1888,1872-1891,Official,0,0
1888,1872-1891,Official,0,0
1888,1872-1891,Friendly,0,1
1889,1872-1891,Official,0,1
1889,1872-1891,Official,0,1
1889,1872-1891,Official,0,1
1889,1872-1891,Official,0,0
1889,1872-1891,Official,0,0
1889,1872-1891,Official,0,0
1890,1872-1891,Official,1,1
1890,1872-1891,Official,0,0
1890,1872-1891,Official,0,0
1890,1872-1891,Official,0,1
1890,1872-1891,Official,0,0
1890,1872-1891,Official,0,0
1891,1872-1891,Official,0,1
1891,1872-1891,Official,0,1
1891,1872-1891,Official,0,1
1891,1872-1891,Official,0,0
1891,1872-1891,Official,0,1
1891,1872-1891,Official,0,1
1892,1892-1911,Official,0,0
1892,1892-1911,Official,0,0
1892,1892-1911,Official,0,0
1892,1892-1911,Official,0,0
1892,1892-1911,Official,0,1
1892,1892-1911,Official,0,0
1893,1892-1911,Official,0,1
1893,1892-1911,Official,0,1
1893,1892-1911,Official,0,0
1893,1892-1911,Official,0,1
1893,1892-1911,Official,0,1
1894,1892-1911,Official,0,1
1894,1892-1911,Official,0,0
1894,1892-1911,Official,0,0
1894,1892-1911,Official,0,1
1894,1892-1911,Official,0,0
1894,1892-1911,Official,0,0
1895,1892-1911,Official,0,1
1895,1892-1911,Official,0,0
1895,1892-1911,Official,0,0
1895,1892-1911,Official,0,0
1895,1892-1911,Official,0,1
1895,1892-1911,Official,0,1
1896,1892-1911,Official,0,1
1896,1892-1911,Official,0,0
1896,1892-1911,Official,0,0
1896,1892-1911,Official,0,1
1896,1892-1911,Official,0,0
1896,1892-1911,Official,0,1
1897,1892-1911,Official,0,1
1897,1892-1911,Official,0,1
1897,1892-1911,Official,0,0
1897,1892-1911,Official,0,1
