Year,Era,Match_Type,Neutral,Home_Win
1872,1872-1891,Friendly,0,NotWin
1873,1872-1891,Friendly,0,Win
1874,1872-1891,Friendly,0,Win
1875,1872-1891,Friendly,0,NotWin
1876,1872-1891,Friendly,0,Win
1876,1872-1891,Friendly,0,Win
1877,1872-1891,Friendly,0,NotWin
1877,1872-1891,Friendly,0,NotWin
1878,1872-1891,Friendly,0,Win
1878,1872-1891,Friendly,0,Win
1879,1872-1891,Friendly,0,Win
1879,1872-1891,Friendly,0,Win
1879,1872-1891,Friendly,0,NotWin
1880,1872-1891,Friendly,0,Win
1880,1872-1891,Friendly,0,NotWin
1880,1872-1891,Friendly,0,Win
1881,1872-1891,Friendly,0,NotWin
1881,1872-1891,Friendly,0,NotWin
1881,1872-1891,Friendly,0,NotWin
1882,1872-1891,Friendly,0,NotWin
1882,1872-1891,Friendly,0,Win
1882,1872-1891,Friendly,0,Win
1882,1872-1891,Friendly,0,Win
1882,1872-1891,Friendly,0,Win
1883,1872-1891,Friendly,0,Win
1883,1872-1891,Friendly,0,Win
1883,1872-1891,Friendly,0,NotWin
1883,1872-1891,Friendly,0,NotWin
1883,1872-1891,Friendly,0,NotWin
1884,1872-1891,Official,0,NotWin
1884,1872-1891,Official,0,Win
1884,1872-1891,Official,0,NotWin
1884,1872-1891,Official,0,Win
1884,1872-1891,Official,0,NotWin
1884,1872-1891,Official,0,Win
1885,1872-1891,Official,0,Win
1885,1872-1891,Official,0,NotWin
1885,1872-1891,Official,0,Win
1885,1872-1891,Official,0,NotWin
1885,1872-1891,Official,0,NotWin
1885,1872-1891,Official,0,NotWin
1885,1872-1891,Friendly,0,NotWin
1886,1872-1891,Official,0,Win
1886,1872-1891,Official,0,NotWin
1886,1872-1891,Official,0,NotWin
1886,1872-1891,Official,0,NotWin
1886,1872-1891,Official,0,NotWin
1886,1872-1891,Official,0,Win
1886,1872-1891,Friendly,0,Win
1887,1872-1891,Official,0,Win
1887,1872-1891,Official,0,Win
1887,1872-1891,Official,0,Win
1887,1872-1891,Official,0,Win
1887,1872-1891,Official,0,NotWin
1887,1872-1891,Official,0,NotWin
1888,1872-1891,Official,0,Win
1888,1872-1891,Official,0,Win
1888,1872-1891,Official,0,Win
1888,1872-1891,Official,0,NotWin
1888,1872-1891,Official,0,NotWin
1888,1872-1891,Official,0,NotWin
1888,1872-1891,Friendly,0,Win
1889,1872-1891,Official,0,Win
1889,1872-1891,Official,0,Win
1889,1872-1891,Official,0,Win
1889,1872-1891,Official,0,NotWin
1889,1872-1891,Official,0,NotWin
1889,1872-1891,Official,0,NotWin
1890,1872-1891,Official,1,Win
1890,1872-1891,Official,0,NotWin
1890,1872-1891,Official,0,NotWin
1890,1872-1891,Official,0,Win
1890,1872-1891,Official,0,NotWin
1890,1872-1891,Official,0,NotWin
1891,1872-1891,Official,0,Win
1891,1872-1891,Official,0,Win
1891,1872-1891,Official,0,Win
1891,1872-1891,Official,0,NotWin
1891,1872-1891,Official,0,Win
1891,1872-1891,Official,0,Win
1892,1892-1911,Official,0,NotWin
1892,1892-1911,Official,0,NotWin
1892,1892-1911,Official,0,NotWin
1892,1892-1911,Official,0,NotWin
1892,1892-1911,Official,0,Win
1892,1892-1911,Official,0,NotWin
1893,1892-1911,Official,0,Win
1893,1892-1911,Official,0,Win
1893,1892-1911,Official,0,NotWin
1893,1892-1911,Official,0,Win
1893,1892-1911,Official,0,Win
1894,1892-1911,Official,0,Win
1894,1892-1911,Official,0,NotWin
1894,1892-1911,Official,0,NotWin
