Rank,Team,Matches,Wins,Draws,Losses,Goal_Difference,source_points_invalid,Goals_scored,Goals_conceded,Goals_per_match,Goals_conceded_per_match,outcome_count,outcome_count_matches,calculated_points,points_per_match,win_rate,draw_rate,loss_rate,goal_difference_per_match,alltime_result_score_shrunk,alltime_elo_proxy
1,Real Madrid,486,291,85,110,533,533,1076,543,2.213991769547325,1.117283950617284,486,True,958,1.97119341563786,0.5987654320987654,0.1748971193415638,0.22633744855967078,1.0967078189300412,0.6788537549407114,1630.0
2,Bayern Munich,388,231,78,79,427,427,817,390,2.105670103092784,1.0051546391752575,388,True,771,1.9871134020618557,0.595360824742268,0.20103092783505155,0.2036082474226804,1.1005154639175259,0.6862745098039216,1636.0
3,FC Barcelona,341,196,77,68,319,319,675,356,1.9794721407624636,1.0439882697947214,341,True,665,1.9501466275659824,0.5747800586510264,0.22580645161290322,0.19941348973607037,0.9354838709677419,0.6772853185595568,1628.8
4,Manchester United,289,153,69,67,224,224,524,300,1.813148788927336,1.038062283737024,289,True,528,1.8269896193771626,0.5294117647058824,0.23875432525951557,0.23183391003460208,0.7750865051903114,0.63915857605178,1599.3
5,Juventus,297,151,68,78,171,171,472,301,1.589225589225589,1.0134680134680134,297,True,521,1.754208754208754,0.5084175084175084,0.22895622895622897,0.26262626262626265,0.5757575757575758,0.6151419558359621,1581.5
6,AC Milan,265,127,69,69,171,171,431,260,1.6264150943396227,0.981132075471698,265,True,450,1.6981132075471699,0.47924528301886793,0.26037735849056604,0.26037735849056604,0.6452830188679245,0.6017543859649123,1571.7
7,Liverpool FC,230,128,48,54,214,214,435,221,1.891304347826087,0.9608695652173912,230,True,432,1.8782608695652174,0.5565217391304348,0.20869565217391303,0.23478260869565218,0.9304347826086956,0.648,1606.0
8,FC Porto,265,120,58,87,86,86,392,306,1.4792452830188678,1.1547169811320754,265,True,418,1.5773584905660378,0.4528301886792453,0.2188679245283019,0.3283018867924528,0.32452830188679244,0.5578947368421052,1540.4
9,SL Benfica,266,116,61,89,114,114,438,324,1.6466165413533835,1.218045112781955,266,True,409,1.537593984962406,0.43609022556390975,0.22932330827067668,0.33458646616541354,0.42857142857142855,0.5472027972027972,1532.9
10,Chelsea FC,197,101,52,44,153,153,337,184,1.7106598984771573,0.934010152284264,197,True,355,1.8020304568527918,0.5126903553299492,0.2639593908629442,0.2233502538071066,0.7766497461928934,0.631336405529954,1593.5
11,AFC Ajax,215,100,50,65,105,105,347,242,1.613953488372093,1.1255813953488372,215,True,350,1.627906976744186,0.46511627906976744,0.23255813953488372,0.3023255813953488,0.4883720930232558,0.574468085106383,1552.1
12,Inter Milan,203,97,53,53,77,77,286,209,1.4088669950738917,1.0295566502463054,203,True,344,1.6945812807881773,0.47783251231527096,0.26108374384236455,0.26108374384236455,0.3793103448275862,0.5986547085201793,1569.5
13,Arsenal FC,197,93,44,60,98,98,324,226,1.6446700507614214,1.1472081218274113,197,True,323,1.6395939086294415,0.4720812182741117,0.2233502538071066,0.30456852791878175,0.49746192893401014,0.576036866359447,1553.2
14,Borussia Dortmund,176,83,36,57,75,75,297,222,1.6875,1.2613636363636365,176,True,285,1.6193181818181819,0.4715909090909091,0.20454545454545456,0.32386363636363635,0.42613636363636365,0.5663265306122449,1546.4
15,Atlético Madrid,166,79,44,43,78,78,242,164,1.4578313253012047,0.9879518072289156,166,True,281,1.6927710843373494,0.4759036144578313,0.26506024096385544,0.25903614457831325,0.46987951807228917,0.5967741935483871,1568.1
16,Paris Saint-Germain,151,79,29,43,115,115,294,179,1.9470198675496688,1.185430463576159,151,True,266,1.7615894039735098,0.5231788079470199,0.19205298013245034,0.2847682119205298,0.7615894039735099,0.6052631578947368,1574.3
17,Manchester City,127,72,26,29,123,123,269,146,2.118110236220472,1.1496062992125984,127,True,242,1.905511811023622,0.5669291338582677,0.2047244094488189,0.2283464566929134,0.968503937007874,0.6462585034013606,1604.7
18,Dinamo Kiev,186,65,41,80,-22,-22,229,251,1.2311827956989247,1.3494623655913978,186,True,236,1.2688172043010753,0.34946236559139787,0.22043010752688172,0.43010752688172044,-0.11827956989247312,0.46359223300970875,1474.7
19,PSV Eindhoven,171,58,43,70,-11,-11,213,224,1.2456140350877194,1.3099415204678362,171,True,217,1.2690058479532165,0.3391812865497076,0.25146198830409355,0.4093567251461988,-0.06432748538011696,0.468586387434555,1478.1
20,Celtic FC,156,61,28,67,-6,-6,216,222,1.3846153846153846,1.4230769230769231,156,True,211,1.3525641025641026,0.391025641025641,0.1794871794871795,0.42948717948717946,-0.038461538461538464,0.48295454545454547,1488.2
21,Olympique Lyon,136,58,36,42,49,49,216,167,1.588235294117647,1.2279411764705883,136,True,210,1.5441176470588236,0.4264705882352941,0.2647058823529412,0.3088235294117647,0.3602941176470588,0.5512820512820513,1535.8
22,RSC Anderlecht,163,53,35,75,-64,-64,217,281,1.3312883435582823,1.7239263803680982,163,True,194,1.1901840490797546,0.32515337423312884,0.2147239263803681,0.4601226993865031,-0.39263803680981596,0.43989071038251365,1458.0
23,Valencia CF,116,48,34,34,44,44,169,125,1.456896551724138,1.0775862068965518,116,True,178,1.5344827586206897,0.41379310344827586,0.29310344827586204,0.29310344827586204,0.3793103448275862,0.5514705882352942,1535.9
24,Galatasaray,161,43,41,77,-97,-97,174,271,1.0807453416149069,1.6832298136645962,161,True,170,1.0559006211180124,0.2670807453416149,0.2546583850931677,0.4782608695652174,-0.6024844720496895,0.40607734806629836,1434.0
25,Olympiakos Piraeus,156,47,28,81,-89,-89,176,265,1.1282051282051282,1.698717948717949,156,True,169,1.0833333333333333,0.30128205128205127,0.1794871794871795,0.5192307692307693,-0.5705128205128205,0.4034090909090909,1432.0
26,Rangers FC,131,43,31,57,-44,-44,173,217,1.3206106870229009,1.6564885496183206,131,True,160,1.2213740458015268,0.3282442748091603,0.2366412213740458,0.4351145038167939,-0.33587786259541985,0.45364238410596025,1467.7
27,Crvena Zvezda,104,48,15,41,37,37,204,167,1.9615384615384612,1.6057692307692308,104,True,159,1.5288461538461537,0.46153846153846156,0.14423076923076922,0.3942307692307692,0.3557692307692308,0.5282258064516129,1519.6
28,AS Roma,109,41,26,42,-10,-10,149,159,1.3669724770642202,1.4587155963302751,109,True,149,1.3669724770642202,0.3761467889908257,0.23853211009174313,0.3853211009174312,-0.09174311926605505,0.49612403100775193,1497.3
29,Olympique Marseille,110,43,18,49,21,21,161,140,1.4636363636363636,1.2727272727272727,110,True,147,1.3363636363636364,0.39090909090909093,0.16363636363636364,0.44545454545454544,0.19090909090909092,0.47692307692307695,1484.0
30,Panathinaikos,127,36,37,54,-39,-39,138,177,1.0866141732283463,1.3937007874015748,127,True,145,1.141732283464567,0.28346456692913385,0.29133858267716534,0.4251968503937008,-0.30708661417322836,0.4387755102040816,1457.2
31,Shakhtar Donetsk,118,39,26,53,-47,-47,161,208,1.3644067796610169,1.7627118644067796,118,True,143,1.2118644067796611,0.3305084745762712,0.22033898305084745,0.4491525423728814,-0.3983050847457627,0.4492753623188406,1464.6
32,Bayer Leverkusen,107,37,25,45,-27,-27,148,175,1.383177570093458,1.6355140186915889,107,True,136,1.2710280373831775,0.34579439252336447,0.2336448598130841,0.4205607476635514,-0.2523364485981308,0.468503937007874,1478.1
33,AS Monaco,98,35,21,42,7,7,146,139,1.489795918367347,1.4183673469387754,98,True,126,1.2857142857142858,0.35714285714285715,0.21428571428571427,0.42857142857142855,0.07142857142857142,0.4703389830508475,1479.4
34,Spartak Moskva,104,34,23,47,-23,-23,146,169,1.4038461538461535,1.625,104,True,125,1.2019230769230769,0.3269230769230769,0.22115384615384615,0.4519230769230769,-0.22115384615384615,0.4475806451612903,1463.4
35,AC Sparta Praha,102,33,24,45,-24,-24,130,154,1.2745098039215683,1.5098039215686274,102,True,123,1.2058823529411764,0.3235294117647059,0.23529411764705882,0.4411764705882353,-0.23529411764705882,0.45081967213114754,1465.7
36,Feyenoord,85,32,22,31,28,28,141,113,1.6588235294117648,1.3294117647058823,85,True,118,1.388235294117647,0.3764705882352941,0.25882352941176473,0.36470588235294116,0.32941176470588235,0.5047619047619047,1503.3
37,CSKA Sofia,86,34,15,37,-7,-7,124,131,1.441860465116279,1.5232558139534884,86,True,117,1.3604651162790697,0.3953488372093023,0.1744186046511628,0.43023255813953487,-0.08139534883720931,0.4858490566037736,1490.2
38,Club Brugge KV,97,31,22,44,-29,-29,115,144,1.1855670103092784,1.4845360824742269,97,True,115,1.1855670103092784,0.31958762886597936,0.2268041237113402,0.4536082474226804,-0.29896907216494845,0.4444444444444444,1461.2
39,SSC Napoli,66,30,17,19,30,30,113,83,1.7121212121212122,1.2575757575757576,66,True,107,1.621212121212121,0.45454545454545453,0.25757575757575757,0.2878787878787879,0.45454545454545453,0.563953488372093,1544.7
40,FC Schalke 04,73,29,17,27,-6,-6,105,111,1.4383561643835616,1.5205479452054795,73,True,104,1.4246575342465753,0.3972602739726027,0.2328767123287671,0.3698630136986301,-0.0821917808219178,0.510752688172043,1507.5
