match_id,date,phase,round,season_start,home_team,away_team,home_goals,away_goals,result,home_win,goal_difference,source
1,2005-09-14,Group,1,2005,Club Brugge KV,Juventus,1,2,A,0,-1,detailed_2005_2021
2,2005-09-14,Group,1,2005,Rapid Wien,Bayern Munich,0,1,A,0,-1,detailed_2005_2021
3,2005-09-14,Group,1,2005,Arsenal FC,FC Thun Berner Oberland,2,1,H,1,1,detailed_2005_2021
4,2005-09-14,Group,1,2005,AC Sparta Praha,AFC Ajax,1,1,D,0,0,detailed_2005_2021
5,2005-09-14,Group,1,2005,Udinese Calcio,Panathinaikos,3,0,H,1,3,detailed_2005_2021
6,2005-09-14,Group,1,2005,Werder Bremen,FC Barcelona,0,2,A,0,-2,detailed_2005_2021
7,2005-09-14,Group,1,2005,SL Benfica,Lille OSC,1,0,H,1,1,detailed_2005_2021
8,2005-09-14,Group,1,2005,Villarreal CF,Manchester United,0,0,D,0,0,detailed_2005_2021
9,2005-09-13,Group,1,2005,AC Milan,Fenerbahçe,3,1,H,1,2,detailed_2005_2021
10,2005-09-13,Group,1,2005,PSV Eindhoven,FC Schalke 04,1,0,H,1,1,detailed_2005_2021
11,2005-09-13,Group,1,2005,Olympiakos Piraeus,Rosenborg BK,1,3,A,0,-2,detailed_2005_2021
12,2005-09-13,Group,1,2005,Olympique Lyon,Real Madrid,3,0,H,1,3,detailed_2005_2021
13,2005-09-13,Group,1,2005,Chelsea FC,RSC Anderlecht,1,0,H,1,1,detailed_2005_2021
14,2005-09-13,Group,1,2005,Real Betis,Liverpool FC,1,2,A,0,-1,detailed_2005_2021
15,2005-09-13,Group,1,2005,FC Petržalka,Inter Milan,0,1,A,0,-1,detailed_2005_2021
16,2005-09-13,Group,1,2005,Rangers FC,FC Porto,3,2,H,1,1,detailed_2005_2021
17,2005-09-27,Group,2,2005,Bayern Munich,Club Brugge KV,1,0,H,1,1,detailed_2005_2021
18,2005-09-27,Group,2,2005,Juventus,Rapid Wien,3,0,H,1,3,detailed_2005_2021
19,2005-09-27,Group,2,2005,AFC Ajax,Arsenal FC,1,2,A,0,-1,detailed_2005_2021
20,2005-09-27,Group,2,2005,FC Thun Berner Oberland,AC Sparta Praha,1,0,H,1,1,detailed_2005_2021
21,2005-09-27,Group,2,2005,FC Barcelona,Udinese Calcio,4,1,H,1,3,detailed_2005_2021
22,2005-09-27,Group,2,2005,Panathinaikos,Werder Bremen,2,1,H,1,1,detailed_2005_2021
23,2005-09-27,Group,2,2005,Lille OSC,Villarreal CF,0,0,D,0,0,detailed_2005_2021
24,2005-09-27,Group,2,2005,Manchester United,SL Benfica,2,1,H,1,1,detailed_2005_2021
25,2005-09-28,Group,2,2005,FC Schalke 04,AC Milan,2,2,D,0,0,detailed_2005_2021
26,2005-09-28,Group,2,2005,Fenerbahçe,PSV Eindhoven,3,0,H,1,3,detailed_2005_2021
27,2005-09-28,Group,2,2005,Real Madrid,Olympiakos Piraeus,2,1,H,1,1,detailed_2005_2021
28,2005-09-28,Group,2,2005,Rosenborg BK,Olympique Lyon,0,1,A,0,-1,detailed_2005_2021
29,2005-09-28,Group,2,2005,Liverpool FC,Chelsea FC,0,0,D,0,0,detailed_2005_2021
30,2005-09-28,Group,2,2005,RSC Anderlecht,Real Betis,0,1,A,0,-1,detailed_2005_2021
31,2005-09-28,Group,2,2005,FC Porto,FC Petržalka,2,3,A,0,-1,detailed_2005_2021
32,2005-09-28,Group,2,2005,Inter Milan,Rangers FC,1,0,H,1,1,detailed_2005_2021
33,2005-10-18,Group,3,2005,Bayern Munich,Juventus,2,1,H,1,1,detailed_2005_2021
34,2005-10-18,Group,3,2005,Rapid Wien,Club Brugge KV,0,1,A,0,-1,detailed_2005_2021
35,2005-10-18,Group,3,2005,AFC Ajax,FC Thun Berner Oberland,2,0,H,1,2,detailed_2005_2021
36,2005-10-18,Group,3,2005,AC Sparta Praha,Arsenal FC,0,2,A,0,-2,detailed_2005_2021
37,2005-10-18,Group,3,2005,Panathinaikos,FC Barcelona,0,0,D,0,0,detailed_2005_2021
38,2005-10-18,Group,3,2005,Udinese Calcio,Werder Bremen,1,1,D,0,0,detailed_2005_2021
39,2005-10-18,Group,3,2005,Manchester United,Lille OSC,0,0,D,0,0,detailed_2005_2021
40,2005-10-18,Group,3,2005,Villarreal CF,SL Benfica,1,1,D,0,0,detailed_2005_2021
41,2005-10-19,Group,3,2005,Fenerbahçe,FC Schalke 04,3,3,D,0,0,detailed_2005_2021
42,2005-10-19,Group,3,2005,AC Milan,PSV Eindhoven,0,0,D,0,0,detailed_2005_2021
43,2005-10-19,Group,3,2005,Olympique Lyon,Olympiakos Piraeus,2,1,H,1,1,detailed_2005_2021
44,2005-10-19,Group,3,2005,Real Madrid,Rosenborg BK,4,1,H,1,3,detailed_2005_2021
45,2005-10-19,Group,3,2005,Chelsea FC,Real Betis,4,0,H,1,4,detailed_2005_2021
46,2005-10-19,Group,3,2005,RSC Anderlecht,Liverpool FC,0,1,A,0,-1,detailed_2005_2021
47,2005-10-19,Group,3,2005,FC Porto,Inter Milan,2,0,H,1,2,detailed_2005_2021
48,2005-10-19,Group,3,2005,Rangers FC,FC Petržalka,0,0,D,0,0,detailed_2005_2021
49,2005-11-02,Group,4,2005,Club Brugge KV,Rapid Wien,3,2,H,1,1,detailed_2005_2021
50,2005-11-02,Group,4,2005,Juventus,Bayern Munich,2,1,H,1,1,detailed_2005_2021
51,2005-11-02,Group,4,2005,Arsenal FC,AC Sparta Praha,3,0,H,1,3,detailed_2005_2021
52,2005-11-02,Group,4,2005,FC Thun Berner Oberland,AFC Ajax,2,4,A,0,-2,detailed_2005_2021
53,2005-11-02,Group,4,2005,FC Barcelona,Panathinaikos,5,0,H,1,5,detailed_2005_2021
54,2005-11-02,Group,4,2005,Werder Bremen,Udinese Calcio,4,3,H,1,1,detailed_2005_2021
55,2005-11-02,Group,4,2005,Lille OSC,Manchester United,1,0,H,1,1,detailed_2005_2021
56,2005-11-02,Group,4,2005,SL Benfica,Villarreal CF,0,1,A,0,-1,detailed_2005_2021
57,2005-11-01,Group,4,2005,FC Schalke 04,Fenerbahçe,2,0,H,1,2,detailed_2005_2021
58,2005-11-01,Group,4,2005,PSV Eindhoven,AC Milan,1,0,H,1,1,detailed_2005_2021
59,2005-11-01,Group,4,2005,Olympiakos Piraeus,Olympique Lyon,1,4,A,0,-3,detailed_2005_2021
60,2005-11-01,Group,4,2005,Rosenborg BK,Real Madrid,0,2,A,0,-2,detailed_2005_2021
61,2005-11-01,Group,4,2005,Liverpool FC,RSC Anderlecht,3,0,H,1,3,detailed_2005_2021
62,2005-11-01,Group,4,2005,Real Betis,Chelsea FC,1,0,H,1,1,detailed_2005_2021
63,2005-11-01,Group,4,2005,FC Petržalka,Rangers FC,2,2,D,0,0,detailed_2005_2021
64,2005-11-01,Group,4,2005,Inter Milan,FC Porto,2,1,H,1,1,detailed_2005_2021
65,2005-11-22,Group,5,2005,Bayern Munich,Rapid Wien,4,0,H,1,4,detailed_2005_2021
66,2005-11-22,Group,5,2005,Juventus,Club Brugge KV,1,0,H,1,1,detailed_2005_2021
67,2005-11-22,Group,5,2005,AFC Ajax,AC Sparta Praha,2,1,H,1,1,detailed_2005_2021
68,2005-11-22,Group,5,2005,FC Thun Berner Oberland,Arsenal FC,0,1,A,0,-1,detailed_2005_2021
69,2005-11-22,Group,5,2005,FC Barcelona,Werder Bremen,3,1,H,1,2,detailed_2005_2021
70,2005-11-22,Group,5,2005,Panathinaikos,Udinese Calcio,1,2,A,0,-1,detailed_2005_2021
71,2005-11-22,Group,5,2005,Lille OSC,SL Benfica,0,0,D,0,0,detailed_2005_2021
72,2005-11-22,Group,5,2005,Manchester United,Villarreal CF,0,0,D,0,0,detailed_2005_2021
73,2005-11-23,Group,5,2005,FC Schalke 04,PSV Eindhoven,3,0,H,1,3,detailed_2005_2021
74,2005-11-23,Group,5,2005,Fenerbahçe,AC Milan,0,4,A,0,-4,detailed_2005_2021
75,2005-11-23,Group,5,2005,Real Madrid,Olympique Lyon,1,1,D,0,0,detailed_2005_2021
76,2005-11-23,Group,5,2005,Rosenborg BK,Olympiakos Piraeus,1,1,D,0,0,detailed_2005_2021
77,2005-11-23,Group,5,2005,Liverpool FC,Real Betis,0,0,D,0,0,detailed_2005_2021
78,2005-11-23,Group,5,2005,RSC Anderlecht,Chelsea FC,0,2,A,0,-2,detailed_2005_2021
79,2005-11-23,Group,5,2005,FC Porto,Rangers FC,1,1,D,0,0,detailed_2005_2021
