source_row,date,home_team_raw,away_team_raw,home_goals_raw,away_goals_raw,round_raw,group,home_team,away_team,home_goals,away_goals,has_score_annotation,season_start,round,phase,result,home_win,goal_difference,source
0,2005-09-14,Club Brugge,Juventus,1,2,round : 1,A,Club Brugge KV,Juventus,1,2,False,2005,1,Group,A,0,-1,detailed_2005_2021
1,2005-09-14,SK Rapid Wien,Bayern München,0,1,round : 1,A,Rapid Wien,Bayern Munich,0,1,False,2005,1,Group,A,0,-1,detailed_2005_2021
2,2005-09-14,Arsenal,FC Thun,2,1,round : 1,B,Arsenal FC,FC Thun Berner Oberland,2,1,False,2005,1,Group,H,1,1,detailed_2005_2021
3,2005-09-14,Sparta Praha,Ajax,1,1,round : 1,B,AC Sparta Praha,AFC Ajax,1,1,False,2005,1,Group,D,0,0,detailed_2005_2021
4,2005-09-14,Udinese,Panathinaikos,3,0,round : 1,C,Udinese Calcio,Panathinaikos,3,0,False,2005,1,Group,H,1,3,detailed_2005_2021
5,2005-09-14,Werder Bremen,Barcelona,0,2,round : 1,C,Werder Bremen,FC Barcelona,0,2,False,2005,1,Group,A,0,-2,detailed_2005_2021
6,2005-09-14,SL Benfica,Lille OSC,1,0,round : 1,D,SL Benfica,Lille OSC,1,0,False,2005,1,Group,H,1,1,detailed_2005_2021
7,2005-09-14,Villarreal,Manchester United,0,0,round : 1,D,Villarreal CF,Manchester United,0,0,False,2005,1,Group,D,0,0,detailed_2005_2021
8,2005-09-13,Milan,Fenerbahçe,3,1,round : 1,E,AC Milan,Fenerbahçe,3,1,False,2005,1,Group,H,1,2,detailed_2005_2021
9,2005-09-13,PSV Eindhoven,FC Schalke 04,1,0,round : 1,E,PSV Eindhoven,FC Schalke 04,1,0,False,2005,1,Group,H,1,1,detailed_2005_2021
10,2005-09-13,Olympiacos,Rosenborg BK,1,3,round : 1,F,Olympiakos Piraeus,Rosenborg BK,1,3,False,2005,1,Group,A,0,-2,detailed_2005_2021
11,2005-09-13,Olympique Lyonnais,Real Madrid,3,0,round : 1,F,Olympique Lyon,Real Madrid,3,0,False,2005,1,Group,H,1,3,detailed_2005_2021
12,2005-09-13,Chelsea,RSC Anderlecht,1,0,round : 1,G,Chelsea FC,RSC Anderlecht,1,0,False,2005,1,Group,H,1,1,detailed_2005_2021
13,2005-09-13,Real Betis Balompié,Liverpool,1,2,round : 1,G,Real Betis,Liverpool FC,1,2,False,2005,1,Group,A,0,-1,detailed_2005_2021
14,2005-09-13,FC Petrzalka 1898,Inter,0,1,round : 1,H,FC Petržalka,Inter Milan,0,1,False,2005,1,Group,A,0,-1,detailed_2005_2021
15,2005-09-13,Rangers,FC Porto,3,2,round : 1,H,Rangers FC,FC Porto,3,2,False,2005,1,Group,H,1,1,detailed_2005_2021
16,2005-09-27,Bayern München,Club Brugge,1,0,round : 2,A,Bayern Munich,Club Brugge KV,1,0,False,2005,2,Group,H,1,1,detailed_2005_2021
17,2005-09-27,Juventus,SK Rapid Wien,3,0,round : 2,A,Juventus,Rapid Wien,3,0,False,2005,2,Group,H,1,3,detailed_2005_2021
18,2005-09-27,Ajax,Arsenal,1,2,round : 2,B,AFC Ajax,Arsenal FC,1,2,False,2005,2,Group,A,0,-1,detailed_2005_2021
19,2005-09-27,FC Thun,Sparta Praha,1,0,round : 2,B,FC Thun Berner Oberland,AC Sparta Praha,1,0,False,2005,2,Group,H,1,1,detailed_2005_2021
