source_row,date,home_team_raw,away_team_raw,home_goals_raw,away_goals_raw,round_raw,group,home_team,away_team,home_goals,away_goals,has_score_annotation,season_start,round,phase,result,home_win,goal_difference,source,home_elo_pre,away_elo_pre,elo_diff_pre,elo_expected_home_score,home_alltime_Rank,home_alltime_Matches,home_alltime_win_rate,home_alltime_points_per_match,home_alltime_Goals_per_match,home_alltime_Goals_conceded_per_match,home_alltime_goal_difference_per_match,home_alltime_alltime_elo_proxy,away_alltime_Rank,away_alltime_Matches,away_alltime_win_rate,away_alltime_points_per_match,away_alltime_Goals_per_match,away_alltime_Goals_conceded_per_match,away_alltime_goal_difference_per_match,away_alltime_alltime_elo_proxy,alltime_elo_proxy_diff,alltime_win_rate_diff,alltime_ppm_diff,alltime_goals_per_match_diff,alltime_conceded_per_match_diff
8,2005-09-13,Milan,Fenerbahçe,3,1,round : 1,E,AC Milan,Fenerbahçe,3,1,False,2005,1,Group,H,1,2,detailed_2005_2021,1500.0,1500.0,0.0,0.5,6,265,0.47924528301886793,1.6981132075471699,1.6264150943396227,0.981132075471698,0.6452830188679245,1571.7,61,73,0.273972602739726,0.958904109589041,1.0136986301369864,1.9452054794520548,-0.9315068493150684,1412.3,159.4000000000001,0.20527268027914192,0.7392090979581288,0.6127164642026364,-0.9640734039803568
9,2005-09-13,PSV Eindhoven,FC Schalke 04,1,0,round : 1,E,PSV Eindhoven,FC Schalke 04,1,0,False,2005,1,Group,H,1,1,detailed_2005_2021,1500.0,1500.0,0.0,0.5,19,171,0.3391812865497076,1.2690058479532165,1.2456140350877194,1.3099415204678362,-0.06432748538011696,1478.1,40,73,0.3972602739726027,1.4246575342465753,1.4383561643835616,1.5205479452054795,-0.0821917808219178,1507.5,-29.40000000000009,-0.058078987422895134,-0.1556516862933588,-0.19274212929584222,-0.21060642473764335
10,2005-09-13,Olympiacos,Rosenborg BK,1,3,round : 1,F,Olympiakos Piraeus,Rosenborg BK,1,3,False,2005,1,Group,A,0,-2,detailed_2005_2021,1500.0,1500.0,0.0,0.5,25,156,0.30128205128205127,1.0833333333333333,1.1282051282051282,1.698717948717949,-0.5705128205128205,1432.0,50,90,0.23333333333333334,0.9333333333333333,1.2333333333333334,1.9333333333333331,-0.7,1412.9,19.09999999999991,0.06794871794871793,0.1499999999999999,-0.1051282051282052,-0.23461538461538423
11,2005-09-13,Olympique Lyonnais,Real Madrid,3,0,round : 1,F,Olympique Lyon,Real Madrid,3,0,False,2005,1,Group,H,1,3,detailed_2005_2021,1500.0,1500.0,0.0,0.5,21,136,0.4264705882352941,1.5441176470588236,1.588235294117647,1.2279411764705883,0.3602941176470588,1535.8,1,486,0.5987654320987654,1.97119341563786,2.213991769547325,1.117283950617284,1.0967078189300412,1630.0,-94.20000000000005,-0.17229484386347133,-0.4270757685790365,-0.625756475429678,0.11065722585330429
12,2005-09-13,Chelsea,RSC Anderlecht,1,0,round : 1,G,Chelsea FC,RSC Anderlecht,1,0,False,2005,1,Group,H,1,1,detailed_2005_2021,1500.0,1500.0,0.0,0.5,10,197,0.5126903553299492,1.8020304568527918,1.7106598984771573,0.934010152284264,0.7766497461928934,1593.5,22,163,0.32515337423312884,1.1901840490797546,1.3312883435582823,1.7239263803680982,-0.39263803680981596,1458.0,135.5,0.18753698109682038,0.6118464077730372,0.379371554918875,-0.7899162280838342
13,2005-09-13,Real Betis Balompié,Liverpool,1,2,round : 1,G,Real Betis,Liverpool FC,1,2,False,2005,1,Group,A,0,-1,detailed_2005_2021,1500.0,1500.0,0.0,0.5,201,6,0.3333333333333333,1.1666666666666667,0.5,1.1666666666666667,-0.6666666666666666,1486.6,7,230,0.5565217391304348,1.8782608695652174,1.891304347826087,0.9608695652173912,0.9304347826086956,1606.0,-119.40000000000009,-0.22318840579710147,-0.7115942028985507,-1.391304347826087,0.20579710144927554
14,2005-09-13,FC Petrzalka 1898,Inter,0,1,round : 1,H,FC Petržalka,Inter Milan,0,1,False,2005,1,Group,A,0,-1,detailed_2005_2021,1500.0,1500.0,0.0,0.5,214,6,0.16666666666666666,1.0,0.8333333333333334,1.5,-0.6666666666666666,1486.6,12,203,0.47783251231527096,1.6945812807881773,1.4088669950738917,1.0295566502463054,0.3793103448275862,1569.5,-82.90000000000009,-0.3111658456486043,-0.6945812807881773,-0.5755336617405583,0.4704433497536946
15,2005-09-13,Rangers,FC Porto,3,2,round : 1,H,Rangers FC,FC Porto,3,2,False,2005,1,Group,H,1,1,detailed_2005_2021,1500.0,1500.0,0.0,0.5,26,131,0.3282442748091603,1.2213740458015268,1.3206106870229009,1.6564885496183206,-0.33587786259541985,1467.7,8,265,0.4528301886792453,1.5773584905660378,1.4792452830188678,1.1547169811320754,0.32452830188679244,1540.4,-72.70000000000005,-0.124585913870085,-0.3559844447645111,-0.15863459599596696,0.5017715684862452
0,2005-09-14,Club Brugge,Juventus,1,2,round : 1,A,Club Brugge KV,Juventus,1,2,False,2005,1,Group,A,0,-1,detailed_2005_2021,1500.0,1500.0,0.0,0.5,38,97,0.31958762886597936,1.1855670103092784,1.1855670103092784,1.4845360824742269,-0.29896907216494845,1461.2,5,297,0.5084175084175084,1.754208754208754,1.589225589225589,1.0134680134680134,0.5757575757575758,1581.5,-120.29999999999995,-0.18882987955152908,-0.5686417438994757,-0.40365857891631074,0.47106806900621345
1,2005-09-14,SK Rapid Wien,Bayern München,0,1,round : 1,A,Rapid Wien,Bayern Munich,0,1,False,2005,1,Group,A,0,-1,detailed_2005_2021,1500.0,1500.0,0.0,0.5,55,61,0.39344262295081966,1.2622950819672132,1.540983606557377,1.6229508196721312,-0.08196721311475409,1465.6,2,388,0.595360824742268,1.9871134020618557,2.105670103092784,1.0051546391752575,1.1005154639175259,1636.0,-170.4000000000001,-0.20191820179144837,-0.7248183200946425,-0.564686496535407,0.6177961804968737
