Team,dynamic_elo_final
Bayern Munich,1767.3
FC Barcelona,1732.6
Juventus,1682.8
Real Madrid,1676.2
Manchester City,1674.6
Paris Saint-Germain,1666.4
Chelsea FC,1659.5
Liverpool FC,1654.4
Manchester United,1631.0
Atlético Madrid,1604.1
Arsenal FC,1589.9
FC Porto,1583.3
Inter Milan,1567.2
AFC Ajax,1561.6
SSC Napoli,1558.9
AS Roma,1557.1
Borussia Dortmund,1553.8
Girondins Bordeaux,1553.0
RB Leipzig,1551.1
Tottenham Hotspur,1550.2
Sevilla FC,1550.0
AC Milan,1545.7
VfL Wolfsburg,1537.7
Leicester City,1533.5
ACF Fiorentina,1523.8
Olympique Lyon,1523.5
Málaga CF,1520.3
Beşiktaş,1518.2
FC Schalke 04,1515.8
Shakhtar Donetsk,1515.1
FC Unirea,1511.6
Bayer Leverkusen,1510.2
Valencia CF,1509.3
Rubin Kazan,1507.3
Atalanta,1504.7
Lazio Roma,1502.8
Trabzonspor,1502.1
Real Betis,1501.9
Anorthosis Famagusta,1501.7
FC Basel,1501.4
Bor. Mönchengladbach,1500.4
Udinese Calcio,1498.9
RB Salzburg,1498.9
FK Rostov,1497.7
Aalborg BK,1495.1
FC Twente,1494.4
FC Petržalka,1490.5
Sporting Braga,1489.5
Sporting CP,1488.8
Rosenborg BK,1486.8
FK Krasnodar,1486.4
İstanbul Başakşehir,1485.8
FC København,1485.3
KAA Gent,1485.1
FK Astana,1484.9
Qarabağ FK,1484.9
Athletic Bilbao,1484.3
Hapoel Tel Aviv,1483.7
Standard Liège,1483.4
AZ Alkmaar,1483.4
1899 Hoffenheim,1482.8
Villarreal CF,1481.9
VfB Stuttgart,1481.8
Slavia Praha,1480.4
Ferencvárosi TC,1479.8
Zenit St. Petersburg,1478.4
AS Monaco,1477.0
Austria Wien,1475.7
Legia Warszawa,1475.6
AJ Auxerre,1475.5
Crvena Zvezda,1475.0
BSC Young Boys,1474.4
Rangers FC,1474.2
Fenerbahçe,1473.7
FC Thun Berner Oberland,1471.9
FC Zürich,1471.5
Real Sociedad,1471.5
PFC Ludogorets Razgrad,1470.7
FC Midtjylland,1469.9
FC Nordsjælland,1467.9
Stade Rennais,1467.5
CFR Cluj,1465.5
Montpellier HSC,1464.9
Werder Bremen,1464.2
AEK Athen,1463.7
Malmö FF,1463.5
AC Sparta Praha,1463.1
Spartak Moskva,1462.6
Panathinaikos,1462.0
Maccabi Tel Aviv,1461.5
NK Maribor,1461.4
SL Benfica,1461.2
Bursaspor,1460.0
Oţelul Galaţi,1459.3
Debreceni VSC,1459.0
Club Brugge KV,1458.0
Lokomotiv Moskva,1457.9
Maccabi Haifa,1457.8
Feyenoord,1457.1
MŠK Žilina,1456.5
Levski Sofia,1456.0
APOEL Nikosia,1454.9
Hamburger SV,1454.9
Partizan,1454.1
Rapid Wien,1452.8
CSKA Moskva,1452.2
KRC Genk,1450.9
Viktoria Plzeň,1449.1
PSV Eindhoven,1447.7
Celtic FC,1437.0
BATE Borisov,1432.8
Olympique Marseille,1431.8
Lille OSC,1430.3
Olympiakos Piraeus,1427.2
Galatasaray,1421.5
FCSB,1418.8
Dinamo Kiev,1418.0
RSC Anderlecht,1391.8
Dinamo Zagreb,1382.1
