season_start,matches,home_win_rate,mean_goal_difference
2005,109,0.48623853211009177,0.5412844036697247
2006,109,0.4954128440366973,0.48623853211009177
2007,109,0.5229357798165137,0.5045871559633027
2008,109,0.3669724770642202,0.25688073394495414
2009,109,0.45871559633027525,0.3302752293577982
2010,125,0.512,0.456
2011,129,0.49612403100775193,0.5658914728682171
2012,125,0.464,0.304
2013,126,0.5,0.38095238095238093
2014,127,0.5039370078740157,0.5039370078740157
2015,128,0.546875,0.578125
2016,126,0.4444444444444444,0.6111111111111112
2017,125,0.448,0.36
2018,126,0.4603174603174603,0.46825396825396826
2019,120,0.43333333333333335,0.125
2020,137,0.41605839416058393,-0.051094890510948905
2021,122,0.4344262295081967,0.19672131147540983
