home_team,home_matches,home_wins,home_win_rate,mean_home_goal_difference
FC Barcelona,78,60,0.7692307692307693,1.858974358974359
Bayern Munich,71,51,0.7183098591549296,1.7464788732394365
Real Madrid,75,50,0.6666666666666666,1.3333333333333333
Manchester United,54,35,0.6481481481481481,1.0555555555555556
Atlético Madrid,42,27,0.6428571428571429,1.1428571428571428
Liverpool FC,44,28,0.6363636363636364,1.1590909090909092
Girondins Bordeaux,11,7,0.6363636363636364,0.45454545454545453
Juventus,52,33,0.6346153846153846,0.7884615384615384
Arsenal FC,51,32,0.6274509803921569,1.2941176470588236
AS Roma,29,18,0.6206896551724138,0.7241379310344828
Chelsea FC,55,33,0.6,1.1818181818181819
Sevilla FC,22,13,0.5909090909090909,0.5454545454545454
Inter Milan,36,21,0.5833333333333334,0.6111111111111112
Paris Saint-Germain,38,22,0.5789473684210527,1.2105263157894737
SSC Napoli,19,11,0.5789473684210527,0.7368421052631579
FC Porto,49,28,0.5714285714285714,0.6122448979591837
Manchester City,41,23,0.5609756097560976,0.9512195121951219
Borussia Dortmund,36,20,0.5555555555555556,0.9166666666666666
RB Leipzig,11,6,0.5454545454545454,0.18181818181818182
Bayer Leverkusen,19,10,0.5263157894736842,0.15789473684210525
Tottenham Hotspur,21,11,0.5238095238095238,0.47619047619047616
SL Benfica,36,18,0.5,0.3611111111111111
Fenerbahçe,10,5,0.5,0.0
AC Milan,32,15,0.46875,0.84375
Werder Bremen,13,6,0.46153846153846156,-0.15384615384615385
FC Schalke 04,27,12,0.4444444444444444,0.07407407407407407
Valencia CF,27,12,0.4444444444444444,0.7037037037037037
Olympique Lyon,39,17,0.4358974358974359,0.3333333333333333
AFC Ajax,26,11,0.4230769230769231,0.15384615384615385
PSV Eindhoven,19,8,0.42105263157894735,0.0
Sporting CP,17,7,0.4117647058823529,-0.11764705882352941
FC København,10,4,0.4,0.5
Shakhtar Donetsk,38,15,0.39473684210526316,0.2631578947368421
Zenit St. Petersburg,26,10,0.38461538461538464,0.23076923076923078
Celtic FC,21,8,0.38095238095238093,-0.38095238095238093
FC Basel,21,8,0.38095238095238093,-0.14285714285714285
Olympiakos Piraeus,27,10,0.37037037037037035,-0.25925925925925924
Olympique Marseille,19,7,0.3684210526315789,0.10526315789473684
AS Monaco,15,5,0.3333333333333333,-0.4666666666666667
CSKA Moskva,33,9,0.2727272727272727,-0.3333333333333333
Rangers FC,11,3,0.2727272727272727,-0.5454545454545454
Galatasaray,19,5,0.2631578947368421,-0.42105263157894735
Beşiktaş,12,3,0.25,-0.25
Spartak Moskva,12,3,0.25,-0.16666666666666666
Villarreal CF,12,3,0.25,0.0
APOEL Nikosia,13,3,0.23076923076923078,-1.2307692307692308
BATE Borisov,15,3,0.2,-1.4666666666666666
Bor. Mönchengladbach,10,2,0.2,0.1
Club Brugge KV,11,2,0.18181818181818182,-0.9090909090909091
Dinamo Zagreb,11,2,0.18181818181818182,-0.8181818181818182
Lille OSC,14,2,0.14285714285714285,-0.35714285714285715
RSC Anderlecht,17,2,0.11764705882352941,-1.6470588235294117
Dinamo Kiev,19,2,0.10526315789473684,-1.2105263157894737
FCSB,11,0,0.0,-1.4545454545454546
