source_row,home_team,away_team,home_goals,away_goals,result,season_start,home_team_raw,away_team_raw,home_win,goal_difference,source
0,Olympique Lyon,FC Schalke 04,1,0,H,2010,Lyon,Schalke 04,1,1,ucl_deduplicated
1,FC Barcelona,Panathinaikos,5,1,H,2010,Barcelona,Panathinaikos,1,4,ucl_deduplicated
2,FC København,Rubin Kazan,1,0,H,2010,FC Copenhagen,Rubin Kazan,1,1,ucl_deduplicated
3,SL Benfica,Hapoel Tel Aviv,2,0,H,2010,Benfica,Hapoel Tel Aviv,1,2,ucl_deduplicated
4,Bursaspor,Valencia CF,0,4,A,2010,Bursaspor,Valencia,0,-4,ucl_deduplicated
5,Manchester United,Rangers FC,0,0,D,2010,Manchester Utd,Rangers,0,0,ucl_deduplicated
6,Werder Bremen,Tottenham Hotspur,2,2,D,2010,Werder Bremen,Tottenham,0,0,ucl_deduplicated
7,FC Twente,Inter Milan,2,2,D,2010,Twente,Inter,0,0,ucl_deduplicated
8,Arsenal FC,Sporting Braga,6,0,H,2010,Arsenal,Braga,1,6,ucl_deduplicated
9,Real Madrid,AFC Ajax,2,0,H,2010,Real Madrid,Ajax,1,2,ucl_deduplicated
10,Shakhtar Donetsk,Partizan,1,0,H,2010,Shakhtar,Partizan,1,1,ucl_deduplicated
11,MŠK Žilina,Chelsea FC,1,4,A,2010,MŠK Žilina,Chelsea,0,-3,ucl_deduplicated
12,Olympique Marseille,Spartak Moskva,0,1,A,2010,Marseille,Spartak Moscow,0,-1,ucl_deduplicated
13,Bayern Munich,AS Roma,2,0,H,2010,Bayern Munich,Roma,1,2,ucl_deduplicated
14,AC Milan,AJ Auxerre,2,0,H,2010,Milan,Auxerre,1,2,ucl_deduplicated
15,CFR Cluj,FC Basel,2,1,H,2010,CFR Cluj,Basel,1,1,ucl_deduplicated
16,AJ Auxerre,Real Madrid,0,1,A,2010,Auxerre,Real Madrid,0,-1,ucl_deduplicated
17,Partizan,Arsenal FC,1,3,A,2010,Partizan,Arsenal,0,-2,ucl_deduplicated
18,Spartak Moskva,MŠK Žilina,3,0,H,2010,Spartak Moscow,MŠK Žilina,1,3,ucl_deduplicated
19,AFC Ajax,AC Milan,1,1,D,2010,Ajax,Milan,0,0,ucl_deduplicated
20,Sporting Braga,Shakhtar Donetsk,0,3,A,2010,Braga,Shakhtar,0,-3,ucl_deduplicated
21,AS Roma,CFR Cluj,2,1,H,2010,Roma,CFR Cluj,1,1,ucl_deduplicated
22,Chelsea FC,Olympique Marseille,2,0,H,2010,Chelsea,Marseille,1,2,ucl_deduplicated
23,FC Basel,Bayern Munich,1,2,A,2010,Basel,Bayern Munich,0,-1,ucl_deduplicated
24,Valencia CF,Manchester United,0,1,A,2010,Valencia,Manchester Utd,0,-1,ucl_deduplicated
25,FC Schalke 04,SL Benfica,2,0,H,2010,Schalke 04,Benfica,1,2,ucl_deduplicated
26,Inter Milan,Werder Bremen,4,0,H,2010,Inter,Werder Bremen,1,4,ucl_deduplicated
27,Tottenham Hotspur,FC Twente,4,1,H,2010,Tottenham,Twente,1,3,ucl_deduplicated
28,Rubin Kazan,FC Barcelona,1,1,D,2010,Rubin Kazan,Barcelona,0,0,ucl_deduplicated
29,Hapoel Tel Aviv,Olympique Lyon,1,3,A,2010,Hapoel Tel Aviv,Lyon,0,-2,ucl_deduplicated
30,Rangers FC,Bursaspor,1,0,H,2010,Rangers,Bursaspor,1,1,ucl_deduplicated
31,Panathinaikos,FC København,0,2,A,2010,Panathinaikos,FC Copenhagen,0,-2,ucl_deduplicated
32,Olympique Marseille,MŠK Žilina,1,0,H,2010,Marseille,MŠK Žilina,1,1,ucl_deduplicated
33,AFC Ajax,AJ Auxerre,2,1,H,2010,Ajax,Auxerre,1,1,ucl_deduplicated
34,Sporting Braga,Partizan,2,0,H,2010,Braga,Partizan,1,2,ucl_deduplicated
35,Spartak Moskva,Chelsea FC,0,2,A,2010,Spartak Moscow,Chelsea,0,-2,ucl_deduplicated
36,Real Madrid,AC Milan,2,0,H,2010,Real Madrid,Milan,1,2,ucl_deduplicated
37,Bayern Munich,CFR Cluj,3,2,H,2010,Bayern Munich,CFR Cluj,1,1,ucl_deduplicated
38,Arsenal FC,Shakhtar Donetsk,5,1,H,2010,Arsenal,Shakhtar,1,4,ucl_deduplicated
39,AS Roma,FC Basel,1,3,A,2010,Roma,Basel,0,-2,ucl_deduplicated
40,Inter Milan,Tottenham Hotspur,4,3,H,2010,Inter,Tottenham,1,1,ucl_deduplicated
41,FC Barcelona,FC København,2,0,H,2010,Barcelona,FC Copenhagen,1,2,ucl_deduplicated
42,Olympique Lyon,SL Benfica,2,0,H,2010,Lyon,Benfica,1,2,ucl_deduplicated
43,FC Schalke 04,Hapoel Tel Aviv,3,1,H,2010,Schalke 04,Hapoel Tel Aviv,1,2,ucl_deduplicated
44,Manchester United,Bursaspor,1,0,H,2010,Manchester Utd,Bursaspor,1,1,ucl_deduplicated
45,Rangers FC,Valencia CF,1,1,D,2010,Rangers,Valencia,0,0,ucl_deduplicated
46,FC Twente,Werder Bremen,1,1,D,2010,Twente,Werder Bremen,0,0,ucl_deduplicated
47,Panathinaikos,Rubin Kazan,0,0,D,2010,Panathinaikos,Rubin Kazan,0,0,ucl_deduplicated
48,Tottenham Hotspur,Inter Milan,3,1,H,2010,Tottenham,Inter,1,2,ucl_deduplicated
49,Rubin Kazan,Panathinaikos,0,0,D,2010,Rubin Kazan,Panathinaikos,0,0,ucl_deduplicated
50,Hapoel Tel Aviv,FC Schalke 04,0,0,D,2010,Hapoel Tel Aviv,Schalke 04,0,0,ucl_deduplicated
51,Valencia CF,Rangers FC,3,0,H,2010,Valencia,Rangers,1,3,ucl_deduplicated
52,SL Benfica,Olympique Lyon,4,3,H,2010,Benfica,Lyon,1,1,ucl_deduplicated
53,FC København,FC Barcelona,1,1,D,2010,FC Copenhagen,Barcelona,0,0,ucl_deduplicated
54,Werder Bremen,FC Twente,0,2,A,2010,Werder Bremen,Twente,0,-2,ucl_deduplicated
55,Chelsea FC,Spartak Moskva,4,1,H,2010,Chelsea,Spartak Moscow,1,3,ucl_deduplicated
56,Shakhtar Donetsk,Arsenal FC,2,1,H,2010,Shakhtar,Arsenal,1,1,ucl_deduplicated
57,AC Milan,Real Madrid,2,2,D,2010,Milan,Real Madrid,0,0,ucl_deduplicated
58,AJ Auxerre,AFC Ajax,2,1,H,2010,Auxerre,Ajax,1,1,ucl_deduplicated
59,MŠK Žilina,Olympique Marseille,0,7,A,2010,MŠK Žilina,Marseille,0,-7,ucl_deduplicated
60,Partizan,Sporting Braga,0,1,A,2010,Partizan,Braga,0,-1,ucl_deduplicated
61,FC Basel,AS Roma,2,3,A,2010,Basel,Roma,0,-1,ucl_deduplicated
62,CFR Cluj,Bayern Munich,0,4,A,2010,CFR Cluj,Bayern Munich,0,-4,ucl_deduplicated
63,AFC Ajax,Real Madrid,0,4,A,2010,Ajax,Real Madrid,0,-4,ucl_deduplicated
64,AJ Auxerre,AC Milan,0,2,A,2010,Auxerre,Milan,0,-2,ucl_deduplicated
65,AS Roma,Bayern Munich,3,2,H,2010,Roma,Bayern Munich,1,1,ucl_deduplicated
66,Chelsea FC,MŠK Žilina,2,1,H,2010,Chelsea,MŠK Žilina,1,1,ucl_deduplicated
67,Partizan,Shakhtar Donetsk,0,3,A,2010,Partizan,Shakhtar,0,-3,ucl_deduplicated
68,Spartak Moskva,Olympique Marseille,0,3,A,2010,Spartak Moscow,Marseille,0,-3,ucl_deduplicated
69,FC Basel,CFR Cluj,1,0,H,2010,Basel,CFR Cluj,1,1,ucl_deduplicated
70,Sporting Braga,Arsenal FC,2,0,H,2010,Braga,Arsenal,1,2,ucl_deduplicated
71,Inter Milan,FC Twente,1,0,H,2010,Inter,Twente,1,1,ucl_deduplicated
72,Tottenham Hotspur,Werder Bremen,3,0,H,2010,Tottenham,Werder Bremen,1,3,ucl_deduplicated
73,Rangers FC,Manchester United,0,1,A,2010,Rangers,Manchester Utd,0,-1,ucl_deduplicated
74,Rubin Kazan,FC København,1,0,H,2010,Rubin Kazan,FC Copenhagen,1,1,ucl_deduplicated
75,Panathinaikos,FC Barcelona,0,3,A,2010,Panathinaikos,Barcelona,0,-3,ucl_deduplicated
76,FC Schalke 04,Olympique Lyon,3,0,H,2010,Schalke 04,Lyon,1,3,ucl_deduplicated
77,Hapoel Tel Aviv,SL Benfica,3,0,H,2010,Hapoel Tel Aviv,Benfica,1,3,ucl_deduplicated
78,Bursaspor,Rangers FC,1,1,D,2010,Bursaspor,Rangers,0,0,ucl_deduplicated
79,Olympique Lyon,Hapoel Tel Aviv,2,2,D,2010,Lyon,Hapoel Tel Aviv,0,0,ucl_deduplicated
80,FC Twente,Tottenham Hotspur,3,3,D,2010,Twente,Tottenham,0,0,ucl_deduplicated
81,SL Benfica,FC Schalke 04,1,2,A,2010,Benfica,Schalke 04,0,-1,ucl_deduplicated
82,FC Barcelona,Rubin Kazan,2,0,H,2010,Barcelona,Rubin Kazan,1,2,ucl_deduplicated
83,Werder Bremen,Inter Milan,3,0,H,2010,Werder Bremen,Inter,1,3,ucl_deduplicated
84,FC København,Panathinaikos,3,1,H,2010,FC Copenhagen,Panathinaikos,1,2,ucl_deduplicated
85,Manchester United,Valencia CF,1,1,D,2010,Manchester Utd,Valencia,0,0,ucl_deduplicated
86,AC Milan,AFC Ajax,0,2,A,2010,Milan,Ajax,0,-2,ucl_deduplicated
87,Arsenal FC,Partizan,3,1,H,2010,Arsenal,Partizan,1,2,ucl_deduplicated
88,Bayern Munich,FC Basel,3,0,H,2010,Bayern Munich,Basel,1,3,ucl_deduplicated
89,Real Madrid,AJ Auxerre,4,0,H,2010,Real Madrid,Auxerre,1,4,ucl_deduplicated
90,CFR Cluj,AS Roma,1,1,D,2010,CFR Cluj,Roma,0,0,ucl_deduplicated
91,MŠK Žilina,Spartak Moskva,1,2,A,2010,MŠK Žilina,Spartak Moscow,0,-1,ucl_deduplicated
92,Olympique Marseille,Chelsea FC,1,0,H,2010,Marseille,Chelsea,1,1,ucl_deduplicated
93,Shakhtar Donetsk,Sporting Braga,2,0,H,2010,Shakhtar,Braga,1,2,ucl_deduplicated
94,Valencia CF,FC Schalke 04,1,1,D,2010,Valencia,Schalke 04,0,0,ucl_deduplicated
95,AS Roma,Shakhtar Donetsk,2,3,A,2010,Roma,Shakhtar,0,-1,ucl_deduplicated
96,Arsenal FC,FC Barcelona,2,1,H,2010,Arsenal,Barcelona,1,1,ucl_deduplicated
97,Olympique Lyon,Real Madrid,1,1,D,2010,Lyon,Real Madrid,0,0,ucl_deduplicated
98,FC København,Chelsea FC,0,2,A,2010,FC Copenhagen,Chelsea,0,-2,ucl_deduplicated
99,Olympique Marseille,Manchester United,0,0,D,2010,Marseille,Manchester Utd,0,0,ucl_deduplicated
100,Inter Milan,Bayern Munich,0,1,A,2010,Inter,Bayern Munich,0,-1,ucl_deduplicated
101,Shakhtar Donetsk,AS Roma,3,0,H,2010,Shakhtar,Roma,1,3,ucl_deduplicated
102,FC Barcelona,Arsenal FC,3,1,H,2010,Barcelona,Arsenal,1,2,ucl_deduplicated
103,Tottenham Hotspur,AC Milan,0,0,D,2010,Tottenham,Milan,0,0,ucl_deduplicated
104,FC Schalke 04,Valencia CF,3,1,H,2010,Schalke 04,Valencia,1,2,ucl_deduplicated
105,Manchester United,Olympique Marseille,2,1,H,2010,Manchester Utd,Marseille,1,1,ucl_deduplicated
